throw_Distance,Rope_elasticity,Pulling_level,catapult_weight,catapult_Height,Throw_angle
105.1,1,41.5,32.5,32,34.5
110.95,1,41.5,32.5,32,36.5
97.3,1,41.5,32.5,32,36
66.1,1,49.5,30.5,30,29
66.1,1,48.5,31.5,31,28
94.05,1,48.5,33.5,33,28.5
209.1,3,33.5,42.5,42,44
196.1,3,33.5,50.5,50,47
218.85,3,33.5,43.5,43,46
138.25,3,35.5,38.5,38,42.5
99.25,NA,43.5,29.5,29,37.5
97.3,1,42.5,32.5,32,38
84.95,1,44.5,38.5,38,36
123.3,1,46.5,32.5,32,36
175.95,3,33.5,42.5,42,45.5
167.5,3,35.5,45.5,45,44.5
196.1,3,34.5,39.5,39,47.5
101.2,1,44.5,43.5,43,39
126.55,2,36.5,37.5,37,41
96,NA,42.5,36.5,NA,37
137.6,3,35.5,42.5,42,41
133,2,35.6,44.7,39,41
133,2,35.6,44.7,39,39.5
144.7,3,33.6,43.7,39,42.5
135.6,2,39.6,44.7,31,38
118.05,1,43.6,49.7,31,37
114.15,2,38.6,44.7,28,36.5
89.45,1,43.6,53.7,32,36
155.1,3,35.6,41.7,37,38
144.7,3,35.6,43.7,39,38.5
121.3,2,36.6,45.7,39,37
112.2,2,36.6,45.7,39,37
103.1,1,40.6,49.7,31,33.5
108.95,1,40.6,49.7,31,35.5
NA,1,40.6,49.7,31,35
64.1,1,48.6,51.7,29,28
64.1,1,47.6,51.7,30,27
92.05,1,47.6,52.7,32,27.5
207.1,3,32.6,41.7,41,43
194.1,NA,32.6,40.7,49,46
216.85,3,32.6,41.7,42,45
136.25,3,34.6,43.7,37,41.5
97.25,1,42.6,47.7,28,36.5
95.3,1,41.6,47.7,31,37
82.95,1,43.6,53.7,37,35
121.3,1,45.6,49.7,31,35
173.95,3,32.6,41.7,41,44.5
165.5,3,34.6,43.7,44,43.5
194.1,3,33.6,45.7,38,46.5
99.2,1,43.6,55.7,42,38
124.55,2,35.6,49.7,36,40
94,1,41.6,59.7,35,36
135.6,3,34.6,44.7,41,40
139,2,36.1,49,44,42.5
139,2,36.1,49,44,41
150.7,3,34.1,48,44,44
141.6,2,40.1,49,36,39.5
124.05,1,44.1,54,36,38.5
120.15,2,39.1,49,33,38
95.45,1,44.1,58,37,37.5
161.1,3,36.1,46,42,39.5
150.7,3,36.1,48,44,40
127.3,2,37.1,50,44,38.5
118.2,2,37.1,50,44,38.5
109.1,1,41.1,54,36,35
114.95,1,41.1,54,36,37
NA,1,41.1,54,36,36.5
70.1,1,49.1,56,34,29.5
70.1,1,48.1,56,35,28.5
98.05,1,48.1,57,37,29
213.1,3,33.1,46,46,44.5
200.1,3,33.1,45,54,47.5
222.85,3,33.1,46,47,46.5
142.25,3,35.1,48,42,43
103.25,1,43.1,52,33,38
101.3,1,42.1,52,36,38.5
88.95,1,44.1,58,42,36.5
127.3,1,46.1,54,36,NA
179.95,3,33.1,46,46,46
171.5,3,35.1,48,49,45
200.1,3,34.1,50,43,48
105.2,NA,44.1,60,47,39.5
130.55,2,36.1,54,41,41.5
100,1,42.1,64,40,37.5
141.6,3,35.1,49,46,41.5
140,2,36.5,44.5,44,43
140,2,36.5,44.5,44,41.5
151.7,3,34.5,44.5,44,44.5
142.6,2,40.5,36.5,36,40
125.05,1,44.5,36.5,36,39
121.15,2,39.5,33.5,33,38.5
96.45,1,44.5,37.5,37,38
162.1,3,36.5,42.5,42,40
151.7,3,36.5,44.5,44,40.5
128.3,2,37.5,44.5,44,39
119.2,2,NA,44.5,44,39
110.1,1,41.5,NA,36,35.5
115.95,1,41.5,36.5,36,37.5
102.3,1,41.5,36.5,36,37
71.1,1,49.5,34.5,34,30
71.1,1,48.5,35.5,35,29
99.05,1,48.5,37.5,37,29.5
214.1,3,33.5,46.5,46,45
201.1,3,33.5,54.5,54,48
223.85,3,33.5,47.5,47,47
143.25,3,35.5,42.5,42,43.5
104.25,1,43.5,33.5,33,38.5
102.3,1,42.5,36.5,36,39
89.95,1,44.5,42.5,42,37
128.3,1,46.5,36.5,36,37
180.95,3,33.5,46.5,46,46.5
172.5,3,35.5,49.5,49,45.5
201.1,3,34.5,43.5,43,48.5
106.2,1,44.5,47.5,47,40
131.55,2,36.5,41.5,41,42
101,1,42.5,40.5,40,38
142.6,3,35.5,NA,46,42
138,2,35.6,48.7,43,42
138,2,35.6,48.7,43,40.5
149.7,3,33.6,47.7,43,43.5
140.6,2,39.6,48.7,35,39
123.05,1,43.6,53.7,35,38
119.15,2,38.6,48.7,32,37.5
94.45,1,43.6,57.7,36,37
160.1,3,35.6,45.7,41,39
149.7,3,35.6,47.7,43,39.5
126.3,2,36.6,49.7,43,38
117.2,2,36.6,49.7,43,38
108.1,1,40.6,53.7,35,34.5
NA,1,40.6,53.7,35,36.5
100.3,1,40.6,53.7,35,36
69.1,1,48.6,55.7,33,29
69.1,1,47.6,55.7,NA,28
97.05,1,47.6,56.7,36,28.5
212.1,3,32.6,45.7,45,44
199.1,3,32.6,44.7,NA,47
221.85,3,32.6,45.7,46,46
141.25,3,34.6,47.7,41,42.5
102.25,1,42.6,51.7,32,37.5
100.3,1,41.6,51.7,35,38
87.95,1,43.6,57.7,41,36
126.3,1,45.6,53.7,35,36
178.95,3,32.6,45.7,45,45.5
170.5,3,34.6,47.7,48,44.5
199.1,3,33.6,49.7,42,47.5
104.2,1,43.6,59.7,46,39
129.55,2,35.6,53.7,40,41
99,1,41.6,63.7,39,37
140.6,3,34.6,48.7,45,41
136.4,2,36.2,45.4,40.7,41.8
136.4,2,36.2,45.4,40.7,40.3
148.1,3,34.2,44.4,40.7,43.3
139,2,40.2,45.4,32.7,38.8
121.45,1,44.2,NA,32.7,37.8
117.55,2,39.2,45.4,29.7,37.3
92.85,1,44.2,54.4,33.7,36.8
158.5,3,36.2,42.4,38.7,38.8
148.1,3,36.2,44.4,40.7,39.3
124.7,2,37.2,46.4,40.7,37.8
115.6,2,37.2,46.4,40.7,37.8
106.5,1,41.2,50.4,32.7,34.3
112.35,1,41.2,50.4,32.7,36.3
98.7,1,41.2,50.4,32.7,35.8
67.5,1,49.2,52.4,30.7,28.8
67.5,1,48.2,52.4,31.7,27.8
95.45,1,48.2,53.4,33.7,28.3
210.5,3,33.2,42.4,42.7,43.8
197.5,3,33.2,41.4,50.7,46.8
220.25,3,33.2,42.4,43.7,45.8
139.65,3,35.2,44.4,38.7,42.3
100.65,1,43.2,48.4,29.7,37.3
98.7,1,42.2,48.4,32.7,37.8
86.35,1,44.2,54.4,38.7,35.8
124.7,1,46.2,50.4,32.7,35.8
177.35,3,33.2,42.4,42.7,45.3
168.9,3,35.2,44.4,45.7,44.3
197.5,3,34.2,46.4,39.7,47.3
102.6,1,44.2,NA,43.7,38.8
127.95,2,36.2,50.4,37.7,40.8
97.4,1,42.2,60.4,36.7,36.8
139,3,35.2,45.4,42.7,40.8
137.4,2,36.6,40.9,NA,42.3
137.4,2,36.6,40.9,40.7,40.8
149.1,3,34.6,40.9,40.7,43.8
140,2,40.6,32.9,32.7,39.3
122.45,1,44.6,32.9,32.7,38.3
118.55,2,39.6,29.9,29.7,37.8
93.85,1,44.6,33.9,33.7,37.3
159.5,3,36.6,38.9,38.7,39.3
149.1,3,36.6,40.9,40.7,39.8
125.7,2,37.6,40.9,40.7,38.3
116.6,2,37.6,40.9,40.7,38.3
107.5,1,41.6,32.9,32.7,34.8
113.35,1,41.6,32.9,32.7,36.8
99.7,1,41.6,32.9,32.7,36.3
68.5,1,49.6,30.9,30.7,29.3
68.5,1,48.6,31.9,31.7,28.3
96.45,1,48.6,33.9,33.7,28.8
211.5,3,33.6,42.9,42.7,44.3
198.5,3,33.6,50.9,50.7,47.3
221.25,3,33.6,43.9,43.7,46.3
140.65,3,35.6,38.9,38.7,42.8
101.65,1,43.6,29.9,29.7,37.8
99.7,1,NA,32.9,32.7,38.3
87.35,1,44.6,38.9,38.7,36.3
125.7,1,46.6,32.9,32.7,36.3
NA,3,33.6,42.9,42.7,45.8
169.9,3,35.6,45.9,45.7,44.8
198.5,3,34.6,39.9,39.7,47.8
103.6,1,44.6,43.9,43.7,39.3
128.95,2,36.6,37.9,37.7,41.3
98.4,1,42.6,36.9,36.7,37.3
140,3,35.6,42.9,42.7,41.3
135.4,2,35.7,45.1,39.7,41.3
135.4,2,35.7,45.1,39.7,39.8
147.1,3,33.7,44.1,39.7,42.8
138,2,39.7,45.1,31.7,38.3
120.45,1,43.7,50.1,31.7,37.3
116.55,2,38.7,45.1,28.7,36.8
91.85,1,43.7,54.1,32.7,36.3
157.5,3,35.7,42.1,37.7,38.3
147.1,3,35.7,44.1,39.7,38.8
123.7,2,36.7,46.1,39.7,37.3
114.6,2,36.7,46.1,39.7,37.3
105.5,1,40.7,NA,31.7,33.8
111.35,1,40.7,50.1,31.7,35.8
97.7,1,40.7,50.1,31.7,35.3
66.5,1,48.7,52.1,29.7,28.3
66.5,1,47.7,52.1,30.7,27.3
94.45,1,47.7,NA,32.7,27.8
209.5,3,32.7,42.1,41.7,43.3
196.5,3,32.7,41.1,49.7,46.3
219.25,3,32.7,42.1,42.7,45.3
138.65,3,34.7,44.1,37.7,41.8
99.65,1,42.7,48.1,28.7,36.8
97.7,1,41.7,48.1,31.7,37.3
85.35,1,43.7,54.1,37.7,35.3
123.7,1,45.7,50.1,31.7,35.3
176.35,3,32.7,42.1,41.7,44.8
167.9,3,34.7,44.1,44.7,43.8
196.5,3,33.7,46.1,38.7,NA
101.6,1,43.7,56.1,42.7,38.3
126.95,2,35.7,50.1,36.7,40.3
96.4,1,41.7,60.1,35.7,36.3
138,3,34.7,45.1,41.7,40.3
133.9,2,36.3,43.4,38.7,41.3
133.9,2,36.3,43.4,38.7,39.8
145.6,3,34.3,42.4,38.7,42.8
136.5,2,40.3,43.4,30.7,38.3
118.95,1,44.3,48.4,30.7,37.3
115.05,2,39.3,43.4,27.7,36.8
90.35,1,44.3,52.4,31.7,36.3
156,3,36.3,40.4,36.7,38.3
145.6,3,36.3,42.4,38.7,38.8
122.2,2,37.3,44.4,38.7,37.3
113.1,2,37.3,44.4,38.7,37.3
104,1,41.3,48.4,30.7,33.8
109.85,1,41.3,48.4,30.7,35.8
96.2,1,41.3,48.4,30.7,35.3
65,1,49.3,50.4,28.7,28.3
65,1,48.3,50.4,29.7,27.3
92.95,1,48.3,51.4,31.7,27.8
208,3,33.3,40.4,40.7,43.3
195,3,33.3,39.4,48.7,46.3
217.75,3,33.3,40.4,41.7,45.3
137.15,3,35.3,42.4,36.7,41.8
98.15,1,43.3,46.4,27.7,36.8
96.2,1,NA,46.4,30.7,37.3
83.85,1,44.3,52.4,36.7,NA
122.2,1,46.3,48.4,30.7,35.3
174.85,3,33.3,40.4,40.7,44.8
166.4,3,35.3,42.4,43.7,43.8
195,3,34.3,44.4,37.7,46.8
100.1,1,44.3,54.4,41.7,38.3
125.45,2,36.3,48.4,35.7,40.3
94.9,1,42.3,58.4,34.7,36.3
136.5,3,35.3,43.4,40.7,40.3
134.9,2,36.7,38.9,38.7,41.8
134.9,2,36.7,38.9,38.7,40.3
146.6,3,34.7,38.9,38.7,43.3
137.5,2,40.7,30.9,30.7,38.8
119.95,1,44.7,30.9,30.7,37.8
116.05,2,39.7,27.9,27.7,37.3
91.35,1,44.7,31.9,31.7,36.8
157,3,36.7,36.9,36.7,38.8
146.6,3,36.7,38.9,38.7,39.3
123.2,2,37.7,38.9,38.7,37.8
114.1,2,37.7,38.9,38.7,37.8
105,1,41.7,30.9,30.7,34.3
110.85,1,41.7,30.9,30.7,36.3
97.2,1,41.7,30.9,30.7,35.8
66,1,49.7,28.9,28.7,28.8
66,1,48.7,29.9,29.7,27.8
93.95,1,48.7,31.9,31.7,28.3
209,3,NA,40.9,40.7,43.8
196,3,33.7,48.9,48.7,46.8
218.75,3,33.7,41.9,41.7,45.8
138.15,3,35.7,36.9,36.7,42.3
99.15,1,43.7,27.9,27.7,37.3
97.2,1,42.7,30.9,30.7,37.8
84.85,1,44.7,36.9,36.7,35.8
123.2,1,46.7,30.9,30.7,35.8
175.85,3,33.7,40.9,40.7,45.3
167.4,3,35.7,43.9,43.7,44.3
196,3,34.7,37.9,37.7,47.3
101.1,1,44.7,41.9,41.7,38.8
126.45,2,36.7,35.9,35.7,40.8
95.9,1,42.7,34.9,34.7,36.8
137.5,3,35.7,40.9,40.7,40.8
132.9,2,35.8,43.1,37.7,40.8
132.9,2,35.8,43.1,37.7,39.3
144.6,3,33.8,42.1,37.7,42.3
135.5,2,39.8,43.1,29.7,37.8
117.95,1,43.8,48.1,29.7,36.8
114.05,2,38.8,43.1,26.7,NA
89.35,1,43.8,52.1,30.7,35.8
155,3,35.8,40.1,35.7,37.8
144.6,3,35.8,42.1,37.7,38.3
121.2,2,36.8,44.1,37.7,36.8
112.1,2,36.8,44.1,37.7,36.8
103,1,40.8,48.1,29.7,NA
108.85,1,40.8,48.1,29.7,35.3
95.2,1,40.8,48.1,29.7,34.8
64,1,48.8,50.1,27.7,27.8
64,1,47.8,50.1,28.7,26.8
91.95,1,47.8,51.1,30.7,27.3
207,3,32.8,40.1,39.7,42.8
194,3,32.8,39.1,47.7,45.8
216.75,3,32.8,40.1,40.7,44.8
136.15,3,34.8,42.1,35.7,41.3
97.15,1,42.8,46.1,26.7,36.3
95.2,1,41.8,46.1,29.7,36.8
82.85,1,43.8,52.1,35.7,34.8
121.2,1,45.8,48.1,29.7,34.8
173.85,3,32.8,40.1,39.7,44.3
165.4,3,34.8,42.1,42.7,43.3
194,3,33.8,44.1,36.7,46.3
99.1,1,43.8,54.1,40.7,37.8
124.45,2,35.8,48.1,34.7,39.8
93.9,1,41.8,58.1,33.7,NA
135.5,3,34.8,43.1,39.7,39.8
138.9,2,36.3,47.4,42.7,42.3
138.9,2,36.3,47.4,42.7,40.8
150.6,3,34.3,46.4,42.7,43.8
141.5,2,40.3,47.4,34.7,39.3
123.95,1,44.3,52.4,34.7,38.3
120.05,2,39.3,NA,31.7,37.8
95.35,1,44.3,56.4,35.7,37.3
161,3,36.3,NA,40.7,39.3
150.6,3,36.3,46.4,42.7,39.8
127.2,2,37.3,48.4,42.7,38.3
118.1,2,37.3,48.4,42.7,38.3
109,1,41.3,52.4,34.7,34.8
114.85,1,41.3,52.4,34.7,36.8
101.2,1,41.3,52.4,34.7,36.3
70,1,49.3,54.4,32.7,29.3
70,1,48.3,54.4,33.7,28.3
97.95,1,48.3,55.4,35.7,28.8
213,3,33.3,44.4,44.7,44.3
200,3,33.3,43.4,52.7,47.3
222.75,3,33.3,44.4,45.7,46.3
142.15,3,35.3,46.4,40.7,42.8
103.15,1,43.3,50.4,31.7,37.8
NA,1,NA,50.4,34.7,38.3
88.85,1,44.3,56.4,40.7,36.3
127.2,1,46.3,52.4,34.7,36.3
179.85,3,33.3,44.4,44.7,45.8
171.4,3,35.3,46.4,47.7,44.8
200,3,34.3,48.4,41.7,47.8
105.1,1,44.3,58.4,45.7,39.3
130.45,2,36.3,52.4,39.7,41.3
99.9,1,42.3,62.4,38.7,37.3
141.5,3,35.3,47.4,44.7,41.3
139.9,2,36.7,42.9,42.7,42.8
139.9,2,36.7,42.9,42.7,NA
151.6,3,34.7,42.9,42.7,44.3
142.5,2,40.7,34.9,34.7,39.8
124.95,1,44.7,34.9,34.7,38.8
121.05,2,39.7,31.9,31.7,38.3
96.35,1,44.7,35.9,35.7,37.8
162,3,36.7,40.9,40.7,39.8
151.6,3,36.7,42.9,42.7,40.3
128.2,2,37.7,42.9,42.7,38.8
119.1,2,37.7,42.9,42.7,38.8
110,1,41.7,34.9,34.7,35.3
115.85,1,41.7,34.9,34.7,37.3
102.2,1,41.7,34.9,34.7,36.8
71,1,49.7,32.9,32.7,29.8
71,1,NA,33.9,33.7,28.8
98.95,1,48.7,35.9,35.7,29.3
214,3,NA,44.9,44.7,44.8
201,3,33.7,52.9,52.7,47.8
223.75,3,33.7,45.9,45.7,46.8
143.15,3,35.7,40.9,40.7,43.3
104.15,1,43.7,31.9,31.7,38.3
102.2,1,42.7,34.9,34.7,38.8
89.85,1,44.7,40.9,NA,36.8
128.2,1,46.7,34.9,34.7,36.8
180.85,3,33.7,44.9,44.7,46.3
172.4,3,35.7,47.9,47.7,45.3
201,3,34.7,41.9,NA,48.3
106.1,1,44.7,45.9,45.7,39.8
131.45,2,36.7,39.9,39.7,41.8
100.9,1,42.7,38.9,38.7,37.8
142.5,3,35.7,44.9,44.7,41.8
137.9,2,35.8,47.1,41.7,41.8
137.9,2,35.8,47.1,41.7,40.3
149.6,3,33.8,46.1,41.7,43.3
140.5,2,39.8,47.1,33.7,38.8
122.95,1,43.8,52.1,33.7,37.8
119.05,2,38.8,47.1,30.7,37.3
94.35,1,43.8,56.1,34.7,36.8
160,3,35.8,44.1,39.7,38.8
NA,3,35.8,46.1,41.7,39.3
126.2,2,36.8,48.1,41.7,37.8
117.1,2,36.8,48.1,41.7,37.8
108,1,40.8,52.1,33.7,34.3
113.85,1,40.8,52.1,33.7,36.3
100.2,1,40.8,52.1,33.7,35.8
69,1,48.8,54.1,31.7,28.8
69,1,47.8,54.1,32.7,27.8
96.95,1,47.8,55.1,34.7,28.3
212,3,32.8,44.1,43.7,43.8
199,3,32.8,43.1,NA,46.8
221.75,3,32.8,44.1,44.7,45.8
141.15,3,34.8,46.1,39.7,42.3
102.15,1,42.8,50.1,30.7,37.3
100.2,1,41.8,50.1,33.7,37.8
87.85,1,43.8,56.1,39.7,35.8
126.2,1,45.8,52.1,33.7,35.8
178.85,3,32.8,44.1,43.7,45.3
170.4,3,34.8,46.1,46.7,44.3
199,3,33.8,48.1,40.7,47.3
104.1,1,43.8,58.1,44.7,38.8
129.45,2,35.8,52.1,38.7,40.8
98.9,1,41.8,62.1,37.7,36.8
140.5,3,34.8,47.1,43.7,40.8
136.6,2,36.2,48.3,43.6,42.2
136.6,2,36.2,48.3,43.6,40.7
148.3,3,34.2,47.3,43.6,43.7
139.2,2,40.2,48.3,35.6,39.2
121.65,1,44.2,53.3,35.6,38.2
117.75,2,39.2,48.3,32.6,37.7
93.05,1,44.2,57.3,36.6,37.2
158.7,3,36.2,45.3,41.6,39.2
148.3,3,36.2,47.3,43.6,39.7
124.9,2,37.2,49.3,43.6,38.2
115.8,2,37.2,49.3,43.6,38.2
106.7,1,41.2,53.3,35.6,34.7
112.55,1,41.2,53.3,35.6,36.7
98.9,1,41.2,53.3,35.6,36.2
67.7,1,49.2,55.3,33.6,29.2
67.7,1,48.2,55.3,34.6,28.2
95.65,1,48.2,56.3,36.6,28.7
210.7,3,33.2,45.3,45.6,44.2
197.7,3,33.2,44.3,53.6,47.2
220.45,3,33.2,45.3,46.6,46.2
139.85,3,35.2,47.3,41.6,42.7
100.85,1,43.2,51.3,32.6,37.7
98.9,1,42.2,51.3,35.6,38.2
86.55,1,44.2,57.3,41.6,36.2
124.9,1,46.2,53.3,35.6,36.2
177.55,3,33.2,45.3,45.6,45.7
169.1,3,35.2,47.3,48.6,44.7
197.7,3,34.2,49.3,42.6,47.7
102.8,1,44.2,59.3,46.6,39.2
128.15,2,36.2,53.3,40.6,41.2
97.6,1,42.2,63.3,39.6,37.2
139.2,3,35.2,48.3,45.6,41.2
137.6,2,36.6,43.8,43.6,42.7
137.6,2,36.6,43.8,NA,41.2
149.3,3,34.6,43.8,43.6,44.2
140.2,2,40.6,35.8,35.6,39.7
122.65,1,44.6,35.8,35.6,38.7
118.75,2,39.6,32.8,32.6,38.2
94.05,1,44.6,36.8,36.6,37.7
159.7,3,36.6,41.8,41.6,39.7
149.3,3,36.6,43.8,43.6,40.2
125.9,2,37.6,43.8,43.6,38.7
116.8,2,37.6,43.8,43.6,38.7
107.7,1,41.6,35.8,35.6,35.2
113.55,1,41.6,35.8,35.6,37.2
99.9,1,41.6,35.8,35.6,36.7
68.7,1,49.6,33.8,33.6,29.7
68.7,1,48.6,34.8,34.6,28.7
96.65,1,48.6,36.8,36.6,29.2
211.7,3,33.6,45.8,45.6,44.7
198.7,3,33.6,53.8,53.6,47.7
221.45,3,33.6,46.8,46.6,46.7
140.85,3,35.6,41.8,41.6,43.2
101.85,1,43.6,32.8,32.6,38.2
99.9,1,42.6,35.8,35.6,38.7
87.55,1,44.6,41.8,41.6,36.7
125.9,1,46.6,35.8,35.6,36.7
178.55,3,33.6,45.8,45.6,46.2
170.1,3,35.6,48.8,48.6,45.2
198.7,3,34.6,42.8,42.6,48.2
103.8,1,44.6,46.8,46.6,39.7
129.15,2,36.6,40.8,40.6,41.7
98.6,1,42.6,39.8,39.6,37.7
140.2,3,35.6,45.8,45.6,41.7
135.6,2,35.7,48,42.6,41.7
135.6,2,35.7,48,42.6,40.2
147.3,3,33.7,47,42.6,43.2
138.2,2,39.7,48,34.6,38.7
120.65,1,43.7,53,34.6,37.7
116.75,2,38.7,48,31.6,37.2
92.05,1,43.7,57,35.6,36.7
157.7,3,35.7,45,40.6,38.7
147.3,3,35.7,47,42.6,39.2
123.9,2,36.7,49,42.6,37.7
114.8,2,36.7,49,42.6,37.7
105.7,1,40.7,53,34.6,34.2
111.55,1,40.7,53,34.6,36.2
97.9,1,40.7,53,34.6,35.7
66.7,1,48.7,55,32.6,28.7
66.7,1,47.7,55,33.6,27.7
94.65,1,47.7,56,35.6,28.2
209.7,3,32.7,45,44.6,43.7
196.7,3,32.7,44,52.6,46.7
219.45,3,32.7,45,45.6,45.7
138.85,3,34.7,47,40.6,42.2
99.85,1,42.7,51,31.6,37.2
97.9,1,41.7,51,34.6,37.7
85.55,1,43.7,57,40.6,35.7
123.9,1,45.7,53,34.6,35.7
176.55,3,32.7,45,44.6,45.2
168.1,3,34.7,47,47.6,44.2
196.7,3,33.7,49,41.6,47.2
101.8,1,43.7,59,45.6,38.7
127.15,2,35.7,53,39.6,40.7
NA,1,41.7,63,38.6,36.7
138.2,3,34.7,48,44.6,40.7
134.1,2,36.3,46.3,41.6,41.7
134.1,2,36.3,46.3,41.6,40.2
145.8,3,34.3,45.3,41.6,43.2
136.7,2,40.3,46.3,33.6,38.7
119.15,1,44.3,51.3,33.6,37.7
115.25,2,39.3,46.3,30.6,37.2
90.55,1,44.3,55.3,34.6,36.7
156.2,3,36.3,43.3,39.6,38.7
145.8,3,36.3,45.3,41.6,39.2
122.4,2,37.3,47.3,41.6,37.7
113.3,2,37.3,47.3,41.6,37.7
104.2,1,41.3,51.3,33.6,34.2
110.05,1,41.3,51.3,33.6,36.2
96.4,1,41.3,51.3,33.6,35.7
65.2,1,49.3,53.3,31.6,28.7
65.2,1,48.3,53.3,32.6,27.7
93.15,1,48.3,54.3,34.6,28.2
208.2,3,33.3,43.3,43.6,43.7
195.2,3,33.3,42.3,51.6,46.7
217.95,3,33.3,43.3,44.6,45.7
137.35,3,35.3,45.3,39.6,42.2
98.35,1,43.3,49.3,30.6,37.2
