"","Firing_range","Torsion_powered","Launch_angle"
"76",49.15,43.7,37.3
"77",116.5,35.1,44
"78",71.2,36.8,36.8
"79",79.65,35.8,41.2
"80",39.35,43.8,35.8
"81",146.1,34.5,47.5
"82",48.7,42.2,37.8
"83",129.95,33.1,46
"84",108.5,36.2,38.8
"85",90.85,35.6,43.2
"86",75.8,37.4,38.5
"87",48.05,48.1,29
"88",52.4,41.7,37.2
"89",99.3,34.6,44.2
"90",116.6,35.3,44.2
"91",119,35,44.5
"92",20.2,49.3,29.7
"93",172.75,33.3,46.3
"94",92.6,40.5,40
"95",87.6,36.6,41.2
"96",64.15,38.6,36.5
"97",39.05,44.3,36.7
"98",16.7,47.7,27.7
"99",85,36.5,42
"100",65.95,41.5,37.5
"101",18.5,48.6,28.3
"102",20.2,48.3,28.7
"103",146.6,32.5,46.5
"104",58.2,40.8,34.7
"105",146.7,33.7,47.2
"106",56.7,41.2,34.7
"107",47.8,40.5,35.5
"108",50.75,NA,37.5
"109",170.45,33.2,46.2
"110",88.9,36.3,42.3
"111",159.6,32.5,43.5
"112",49.7,NA,38.3
"113",75.55,36.1,40.5
"114",37.45,44.4,36.5
"115",78.3,46.5,37
"116",19,47.8,27.8
"117",56.2,44.5,40
"118",119.9,35.6,44.8
"119",46.45,48.6,28.8
"120",127.55,33.2,45.7
"121",47.35,42.8,36.7
"122",163.1,33.1,44.5
"123",54.35,43.7,38.7
"124",76.95,35.7,40.3
"125",17.6,48,28
"126",50.4,40.8,NA
"127",88.35,35.7,42.7
"128",73.4,46.7,36.2
"129",48.6,42.6,37.7
"130",151,34.7,48.3
"131",NA,41.7,36.7
"132",47.7,41.7,37.3
"133",172.95,33.3,46.7
"134",48.25,43.1,37
"135",169.35,32.5,45.5
"136",76.4,45.8,36.2
"137",50.1,44.3,38.3
"138",50.85,43.2,37.7
"139",87.9,35.8,40.3
"140",117.9,34.7,43.8
"141",73.7,36.7,37.3
"142",73.05,43.6,38
"143",47.3,42.5,38
"144",37.85,43.8,35.8
"145",49.25,43.5,37.5
"146",46.55,44.7,38.2
"147",69.3,37.7,39.2
"148",88.9,36.3,40.8
"149",171.25,33.6,46.3
"150",69.25,38.8,37.7
"151",47.4,42.2,36.8
"152",45.2,41.8,36.8
"153",84.9,36.7,40.3
"154",171.45,33.6,46.7
"155",51.4,42.3,38.7
"156",76.2,36.8,37.8
"157",70.15,39.1,38
"158",90,36.5,43
"159",77.95,36.2,40.8
"160",94.6,35.8,38.3
"161",77.2,46.3,36.3
"162",35.45,43.5,NA
"163",116.4,35.3,43.8
"164",146.5,33.7,NA
"165",55.2,41.7,34.7
"166",117.5,35.5,44.5
"167",120.1,35.6,45.2
"168",46.35,44.7,37.8
"169",68.65,39.4,38
"170",92.35,35.3,43.2
"171",144.2,32.8,46.2
"172",52.8,44.2,39.2
"173",144.1,32.6,46
"174",77.4,46.3,36.7
"175",45.45,48.2,28.3
"176",47.6,42.2,37.2
"177",151,33.7,47.8
"178",65.05,41.3,37.2
"179",44,41.6,36
"180",85.1,36.7,40.7
"181",90,36.5,41.5
"182",51.2,44.5,39
"183",16.6,48.5,28.5
"184",73.8,36.5,37.5
"185",62.1,36.8,36.8
"186",49.1,41.8,37.2
"187",52.15,42.8,37.3
"188",88.15,35.7,42.3
"189",89.1,35,41
"190",76.3,36.6,38
"191",54.3,43.8,39.2
"192",74.7,46.2,35.8
"193",98.2,34,43.5
"194",77.05,35.5,40.5
"195",94.8,35.8,38.7
"196",91.15,34.8,42.3
"197",52.3,42.5,39
"198",54.15,43.7,38.3
"199",64.85,41.3,36.8
"200",75.05,44.5,39
"201",65.15,39.1,37
"202",70.05,44.5,38
"203",89.65,35.2,42.3
"204",19.1,48.6,29
"205",73.8,45.5,35.5
"206",84,36.1,41.5
"207",43.05,44.2,37.2
"208",47.95,48.3,28.8
"209",168.85,33.5,46
"210",89.9,36.7,42.8
"211",85.7,39.8,38.2
"212",76.3,45.6,36
"213",162.2,32.8,44.2
"214",66.05,41.7,37.7
"215",124.05,32.8,44.7
"216",97.1,35.7,38.8
"217",82.9,35.8,39.3
"218",NA,33.6,45.8
"219",115.5,34.6,43.5
"220",49.8,42.4,38.5
"221",125.85,33.7,45.3
"222",157.1,32.6,43
"223",145.1,33.1,46.5
"224",67.1,36.8,37.8
"225",45.45,44.1,37.5
"226",148.7,33.6,47.7
"227",47.3,41.5,36
"228",83,35.6,41
"229",17.7,48.2,28.2
"230",86.5,40.3,38.3
"231",88.75,34.5,42
"232",74.05,44.1,38.5
"233",77.2,37.3,38.3
"234",69.15,44.3,37.7
"235",109.7,36.6,39.7
"236",47.4,42.7,38.2
"237",43.95,48.7,28.3
"238",147.7,33.2,47.2
"239",52.25,42.6,37.5
"240",75.7,46.6,36.3
"241",96.7,34.5,43.5
"242",150.1,33.1,47.5
"243",167.95,33.3,45.7
"244",60.85,41.7,36.3
"245",34.85,44.7,35.8
"246",173.85,33.5,47
"247",160.6,33,44
"248",62.45,41,36.5
"249",74.8,46,36
"250",110,35.8,38.8
"251",101.7,34.5,44.5
"252",61.05,41.7,36.7
"253",48.8,41,36
"254",98.1,34.2,43.3
"255",44.9,42.3,36.3
"256",53.25,43.1,38
"257",79.05,36.4,41.5
"258",44.45,47.7,27.8
"259",45.4,41.8,37.2
"260",44.1,41.8,36.2
"261",90.2,35.6,41.7
"262",109.5,36.6,39.3
"263",57.5,41.6,34.8
"264",96.7,36.5,39.5
"265",159,NA,43.8
"266",58,40.8,34.3
"267",88.1,34.5,40.5
"268",17.5,48.2,27.8
"269",88,35.6,40.5
"270",149.1,33.6,47.5
"271",91.7,40.3,39.7
"272",45.65,48.2,28.7
"273",74.65,35.8,40.2
"274",89.1,36.3,41.2
"275",91.25,34.6,42.5
"276",157,32.8,42.8
"277",122.5,35.5,45.5
"278",89.85,35.2,42.7
"279",75.9,46.6,36.7
"280",159.5,32.7,43.3
"281",16.7,48.7,28.7
"282",59.1,41.1,35
"283",65.85,41.7,37.3
"284",68.05,43.6,37
"285",51.1,42.7,38.2
"286",63.85,40.8,36.3
"287",60,41.7,35.3
"288",127.35,33.2,45.3
